"21st Century Cyber Charter School","PA","524582","https://21cccs.org","https://21cccs.cleargov.com/","Link","101"
"Acton Boxborough Regional School District","MA","415722","https://www.abschools.org//news/what_s_new/compare_a_b_r_s_d_to_other_school_districts","https://www.cleargov.com/massachusetts/school/acton-boxborough/2017","Link","1060"
"Acton Boxborough Regional School District","MA","415722","https://www.abschools.org//district/district__school_information","https://www.cleargov.com/massachusetts/school/acton-boxborough/2017","Link","1060"
"Akron City School District","OH","601750","https://www.akronschools.com/","NONE","NONE","1544"
"Albemarle","NC","297262","https://www.albemarlenc.gov/","NONE","NONE","611"
"Algoma","WI","338672","https://www.algomacity.org/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","29"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov","http://www.cleargov.com/massachusetts/school/amesbury/","Link","2553"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov/","http://www.cleargov.com/massachusetts/school/amesbury/","Link","2553"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov/Domain/8","http://www.cleargov.com/massachusetts/school/amesbury/","Link","2553"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov//Domain/8","http://www.cleargov.com/massachusetts/school/amesbury/","Link","2553"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov//Page/374","http://www.cleargov.com/massachusetts/school/amesbury/2016/performance","Link","2553"
"Amesbury Public Schools","MA","411582","https://schools.amesburyma.gov//Domain/0","http://www.cleargov.com/massachusetts/school/amesbury/","Link","2553"
"Antioch","IL","580902","https://www.antioch.il.gov/departments/finance","https://www.cleargov.com/illinois/lake/village/antioch/2017","Link","1397"
"Antioch","IL","580902","https://www.antioch.il.gov/departments/finance/#budget","https://www.cleargov.com/illinois/lake/village/antioch/2017","Link","1397"
"Antioch","IL","580902","https://www.antioch.il.gov/departments/finance/#AnnualTreasurerReports","https://www.cleargov.com/illinois/lake/village/antioch/2017","Link","1397"
"Antioch","IL","580902","https://www.antioch.il.gov/departments/finance/#cafr","https://www.cleargov.com/illinois/lake/village/antioch/2017","Link","1397"
"Antioch","IL","580902","https://www.antioch.il.gov/departments/finance/#SalariesBenefits","https://www.cleargov.com/illinois/lake/village/antioch/2017","Link","1397"
"Aquinnah","MA","492","https://www.aquinnah-ma.gov/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.aquinnah-ma.gov found.","1"
"Arlington","MA","493","https://www.arlingtonma.gov/","ERROR","java.net.SocketException: Connection reset","13817"
"Arlington Public Schools","MA","411602","https://www.arlington.k12.ma.us/home/default.asp","http://www.cleargov.com/massachusetts/school/arlington","Link","12"
"Ashland","MA","497","https://www.ashlandmass.com/620/Citizen-Engagement-and-Transparency-Cent","https://www.cleargov.com/massachusetts/middlesex/town/ashland/2018","Link","1984"
"Ashland","MA","497","https://www.ashlandmass.com//620/Citizen-Engagement-and-Transparency-Cent","https://www.cleargov.com/massachusetts/middlesex/town/ashland/2018","Link","1984"
"Ashland","MA","497","https://www.ashlandmass.com//333/Ashland-Public-Schools","https://www.cleargov.com/massachusetts/school/ashland","Link","1984"
"Ashland","MA","497","https://www.ashlandmass.com//231/Education","https://www.cleargov.com/massachusetts/school/ashland","Link","1984"
"Ashland","MA","497","https://www.ashlandmass.com//427/Ashland-Public-Schools","https://www.cleargov.com/massachusetts/school/ashland","Link","1984"
"Ashland Public Schools","MA","411632","https://ahs.ashland.k12.ma.us/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","1"
"Athol","MA","498","https://www.athol-ma.gov/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.athol-ma.gov found","1"
"Auburn","MA","500","https://www.auburnguide.com/","ERROR","java.net.ConnectException: Connection refused: connect","1"
"Ayer","MA","502","https://www.ayer.ma.us/","NONE","NONE","1485"
"Ayer Shirley Regional School District","MA","415782","https://www.asrsd.org/","NONE","NONE","709"
"Balch Springs","TX","365952","https://www.cityofbalchsprings.com","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","742"
"Belfast School District","NY","510432","https://www.belfastcsd.org/","NONE","NONE","536"
"Belle Isle","FL","2062","https://www.cityofbelleislefl.org/","NONE","NONE","71"
"Belleair","FL","2072","https://www.townofbelleair.com/","NONE","NONE","1121"
"Belleville","WI","336932","https://www.bellevillewi.org/","NONE","NONE","9"
"Bellingham","MA","508","https://www.bellinghamma.org/","NONE","NONE","482"
"Bellingham Public Schools","MA","411772","https://www.bellinghamk12.org/pages/Bellingham_Public_Schools","NONE","NONE","1"
"Benton City","WA","325842","https://www.ci.benton-city.wa.us","https://www.cleargov.com/washington/benton/city/benton-city","Link","2"
"Berkshire School District","NY","511222","https://www.berkshirefarm.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.berkshirefarm.org found.","1"
"Berlin","MA","511","https://www.townofberlin.com/","NONE","NONE","154"
"Berlin School District","NY","514912","https://berlincentral.org/","ERROR","java.net.ConnectException: Connection timed out: connect","1"
"Beverly Public Schools","MA","411802","https://www.beverlyschools.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.beverlyschools.org found.","1"
"Blackstone Valley Regional Vocational Technical High School","MA","416312","https://www.valleytech.k12.ma.us/","NONE","NONE","455"
"Bridgewater Raynham Regional School District","MA","415822","https://www.bridge-rayn.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.bridge-rayn.org found.","1"
"Brockton","MA","527","https://www.brockton.ma.us/","NONE","NONE","1"
"Brookline","MA","529","https://www.brooklinema.gov/","NONE","NONE","4562"
"Brookline Public Schools","MA","411962","https://www.brookline.k12.ma.us/","NONE","NONE","2095"
"Brunswick (Brittonkill) School District","NY","514922","https://www.brunswickcsd.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No name matching www.brunswickcsd.org found","1"
"Burlington","WI","356512","https://www.burlington-wi.gov/","ERROR","javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target","1289"
"Canton Public Schools","MA","412002","https://www.cantonma.org/pages/CantonPublicSchools","NONE","NONE","1"
"Carlisle","MA","534","https://www.carlislema.gov/","NONE","NONE","1237"
"Carlynton School District","PA","526342","https://www.carlynton.k12.pa.us/","NONE","NONE","760"
"Carolina Beach","NC","300122","https://www.carolinabeach.org/","NONE","NONE","2"
"Carrboro","NC","302362","https://townofcarrboro.org/","NONE","NONE","2849"
"Central Valley At Ilion-Mohawk School District","NY","512422","https://www.cvalleycsd.org/","NONE","NONE","1681"
"Chester","NY","1680","https://www.townofchesterny.org","https://chesterny.cleargov.com/","Link","30"
"Chester","NY","1680","https://www.townofchesterny.org/","https://chesterny.cleargov.com/","Link","30"
"Chippewa","PA","261242","https://chippewa-twp.org/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching chippewa-twp.org found.","1"
"Clarke County Schools","GA","601170","https://www.clarke.k12.ga.us/","NONE","NONE","1793"
"Clinton School District","NY","514012","https://www.ccs.edu/","NONE","NONE","1287"
"Coconut Creek","FL","2512","https://www.coconutcreek.net/","NONE","NONE","164"
"Cokato","MN","597895","https://www.cokato.mn.us/","ERROR","javax.net.ssl.SSLHandshakeException: java.security.cert.CertificateException: No subject alternative DNS name matching www.cokato.mn.us found.","1"
"Commerce City Schools","GA","601264","https://www.commercecityschools.org/","ERROR","javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake","1"
"Concord","MA","550","https://www.concordma.gov/","ERROR","java.net.ConnectException: Connection timed out: connect","6959"
